filename,koniq_score_100,topiq_mixed112_score_100,existing_technical_score_100,candidate_c6_score,delta_c6_existing,exif_orientation_original,exif_transpose_applied,image_size_before_transpose,image_size_after_transpose,wsl_koniq_score_100,wsl_topiq_score_100,wsl_c6_score,diff_koniq,diff_topiq,diff_c6,abs_diff_koniq,abs_diff_topiq,abs_diff_c6
20250217_144845.jpg,68.05,70.45,72.25,69.73,-2.52,6,True,4000x3000,3000x4000,67.51306915283203,71.84621095657349,70.54626841545105,-0.5369308471679659,1.3962109565734835,0.8162684154510487,0.5369308471679659,1.3962109565734835,0.8162684154510487
1738744324186.jpg,47.58,57.94,54.37,54.83,0.46,1,False,3024x4032,3024x4032,46.68764114379883,56.60439729690552,53.62937045097351,-0.8923588562011702,-1.3356027030944801,-1.2006295490264876,0.8923588562011702,1.3356027030944801,1.2006295490264876
IMG_2738.JPG,51.04,43.51,56.25,45.77,-10.48,8,True,1920x1280,1280x1920,53.34431838989258,45.37069499492645,47.762782013416285,2.304318389892579,1.8606949949264546,1.9927820134162815,2.304318389892579,1.8606949949264546,1.9927820134162815
IMG_2748.JPG,55.45,64.48,61.95,61.77,-0.18,6,True,1920x1280,1280x1920,57.853843688964844,65.88747501373291,63.477385616302485,2.403843688964841,1.4074750137329062,1.7073856163024814,2.403843688964841,1.4074750137329062,1.7073856163024814
IMG_2739.JPG,55.87,48.57,59.95,50.76,-9.19,8,True,1920x1280,1280x1920,54.562896728515625,52.048009634017944,52.80247576236725,-1.3071032714843724,3.478009634017944,2.0424757623672534,1.3071032714843724,3.478009634017944,2.0424757623672534
IMG_2729.JPG,61.3,50.88,62.04,54.01,-8.03,6,True,1920x1280,1280x1920,59.231781005859375,52.89151668548584,54.7935959815979,-2.068218994140622,2.0115166854858373,0.7835959815979052,2.068218994140622,2.0115166854858373,0.7835959815979052
IMG_2781.JPG,63.17,65.55,67.78,64.83,-2.95,8,True,1920x1280,1280x1920,61.09419631958008,67.28795766830444,65.42982926368714,-2.0758036804199236,1.7379576683044462,0.5998292636871412,2.0758036804199236,1.7379576683044462,0.5998292636871412
IMG_2785.JPG,65.07,67.76,68.26,66.95,-1.3,1,False,1920x1280,1920x1280,67.42926025390625,69.7196900844574,69.03256113529206,2.359260253906257,1.9596900844573923,2.0825611352920532,2.359260253906257,1.9596900844573923,2.0825611352920532
20240510_213907.jpg,64.54,74.61,69.81,71.59,1.78,6,True,4000x3000,3000x4000,66.32227325439453,74.80114102363586,72.25748069286347,1.782273254394525,0.19114102363586483,0.6674806928634638,1.782273254394525,0.19114102363586483,0.6674806928634638
20240502_193823.jpg,54.39,62.51,59.74,60.07,0.33,6,True,4000x2252,2252x4000,56.62351989746094,63.623905181884766,61.52378959655762,2.233519897460937,1.1139051818847676,1.4537895965576197,2.233519897460937,1.1139051818847676,1.4537895965576197
20240510_191716.jpg,76.9,74.89,76.55,75.5,-1.06,6,True,4000x3000,3000x4000,72.74655151367188,72.73457646369934,72.7381689786911,-4.153448486328131,-2.1554235363006597,-2.7618310213088932,4.153448486328131,2.1554235363006597,2.7618310213088932
20240509_154353.jpg,68.71,77.86,71.41,75.11,3.71,6,True,4000x3000,3000x4000,69.24113464355469,76.44509077072144,74.2839039325714,0.5311346435546938,-1.4149092292785639,-0.826096067428594,0.5311346435546938,1.4149092292785639,0.826096067428594
20240515_073118.jpg,70.81,72.53,71.53,72.02,0.48,1,False,4000x3000,4000x3000,72.12784576416016,71.60226106643677,71.75993647575379,1.317845764160154,-0.9277389335632336,-0.26006352424620616,1.317845764160154,0.9277389335632336,0.26006352424620616
20240515_092725.jpg,70.35,73.91,72.53,72.84,0.31,6,True,4000x3000,3000x4000,70.24998474121094,73.77586364746094,72.71809997558594,-0.10001525878905682,-0.1341363525390591,-0.12190002441406023,0.10001525878905682,0.1341363525390591,0.12190002441406023
20240517_060242.jpg,63.56,68.39,67.34,66.94,-0.4,6,True,4000x3000,3000x4000,65.19012451171875,68.35961937904358,67.40877091884613,1.6301245117187477,-0.030380620956421467,0.46877091884613264,1.6301245117187477,0.030380620956421467,0.46877091884613264
IMG_20240519_215827_510.jpg,71.61,74.19,72.79,73.42,0.63,none,False,1440x1800,1440x1800,69.15682983398438,74.86435174942017,73.15209517478942,-2.4531701660156244,0.6743517494201683,-0.2679048252105787,2.4531701660156244,0.6743517494201683,0.2679048252105787
20240517_060245.jpg,56.3,60.32,64.7,59.11,-5.59,6,True,4000x3000,3000x4000,58.00145721435547,60.66024899482727,59.86261146068573,1.7014572143554716,0.3402489948272702,0.7526114606857277,1.7014572143554716,0.3402489948272702,0.7526114606857277
20240506_140415.jpg,74.16,76.03,75.64,75.47,-0.17,6,True,4000x3000,3000x4000,74.84385681152344,76.14265084266663,75.75301263332366,0.6838568115234409,0.11265084266662484,0.2830126333236649,0.6838568115234409,0.11265084266662484,0.2830126333236649
20240503_210355.jpg,77.07,73.79,75.56,74.78,-0.78,6,True,4000x2252,2252x4000,77.54808044433594,74.87691640853882,75.67826561927795,0.4780804443359443,1.086916408538812,0.8982656192779501,0.4780804443359443,1.086916408538812,0.8982656192779501
20240506_120558.jpg,71.6,69.72,72.96,70.28,-2.68,6,True,4000x3000,3000x4000,71.26177215576172,69.07137036323547,69.72849090099335,-0.33822784423827557,-0.6486296367645252,-0.5515090990066511,0.33822784423827557,0.6486296367645252,0.5515090990066511
20240505_153023.jpg,67.16,68.19,69.08,67.88,-1.2,6,True,4000x3000,3000x4000,68.27192687988281,65.20930528640747,66.12809176445008,1.111926879882816,-2.980694713592527,-1.7519082355499194,1.111926879882816,2.980694713592527,1.7519082355499194
1715855266134.jpg,65.88,61.31,69.57,62.68,-6.89,6,True,3088x2316,2316x3088,60.18368148803711,58.410000801086426,58.942105007171634,-5.696318511962886,-2.8999991989135765,-3.737894992828366,5.696318511962886,2.8999991989135765,3.737894992828366
20240505_170541.jpg,78.54,77.39,77.27,77.73,0.46,6,True,4000x3000,3000x4000,81.09152221679688,78.84168028831482,79.51663286685944,2.5515222167968687,1.4516802883148188,1.786632866859435,2.5515222167968687,1.4516802883148188,1.786632866859435
20240101_143158.jpg,72.99,74.01,74.31,73.71,-0.6,1,False,4000x3000,4000x3000,72.36864471435547,73.74558448791504,73.33250255584717,-0.6213552856445261,-0.26441551208496605,-0.37749744415282294,0.6213552856445261,0.26441551208496605,0.37749744415282294
20231231_150055.jpg,77.1,79.1,79.65,78.5,-1.15,6,True,4000x3000,3000x4000,77.12735748291016,78.5772442817688,78.1422782421112,0.027357482910161934,-0.5227557182311955,-0.3577217578887968,0.027357482910161934,0.5227557182311955,0.3577217578887968
1704296944756.jpg,71.25,76.06,74.86,74.62,-0.24,6,True,4032x3024,3024x4032,70.85006713867188,75.12645721435547,73.84354019165039,-0.399932861328125,-0.9335427856445335,-0.7764598083496139,0.399932861328125,0.9335427856445335,0.7764598083496139
1720499657653.jpg,61.28,65.94,66.4,64.54,-1.86,none,False,540x1200,540x1200,61.18049240112305,65.73514938354492,64.36875228881836,-0.09950759887695426,-0.20485061645507585,-0.17124771118164972,0.09950759887695426,0.20485061645507585,0.17124771118164972
1720499666985.jpg,72.16,77.34,73.5,75.78,2.28,none,False,1200x540,1200x540,74.99299621582031,77.36815214157104,76.65560536384582,2.832996215820316,0.02815214157104151,0.8756053638458212,2.832996215820316,0.02815214157104151,0.8756053638458212
1720499666964.jpg,71.12,76.83,73.22,75.12,1.9,none,False,1200x540,1200x540,70.55189514160156,77.4398922920227,75.37349314689637,-0.568104858398442,0.6098922920227068,0.2534931468963606,0.568104858398442,0.6098922920227068,0.2534931468963606
1675564423029-24.jpg,77.65,67.78,77.28,70.74,-6.54,6,True,4032x3024,3024x4032,71.73983764648438,64.9537444114685,66.98957238197326,-5.910162353515631,-2.8262555885314953,-3.750427618026734,5.910162353515631,2.8262555885314953,3.750427618026734
1675342165226-13.jpg,63.56,77.29,67.92,71.56,3.63,6,True,4032x3024,3024x4032,63.957130432128906,76.18995904922485,71.9571304321289,0.397130432128904,-1.1000409507751527,0.397130432128904,0.397130432128904,1.1000409507751527,0.397130432128904
1675342165226-3.jpg,66.48,78.68,70.55,74.48,3.94,6,True,4032x3024,3024x4032,65.43170166015625,78.54803800582886,73.43170166015625,-1.048298339843754,-0.1319619941711494,-1.048298339843754,1.048298339843754,0.1319619941711494,1.048298339843754
1675564674752-15.jpg,74.16,74.31,74.83,74.27,-0.57,6,True,4032x3024,3024x4032,74.4671859741211,74.91636276245117,74.78160972595215,0.30718597412109716,0.6063627624511696,0.5116097259521553,0.30718597412109716,0.6063627624511696,0.5116097259521553
20230201_181300.jpg,53.21,69.91,60.35,61.21,0.86,6,True,4000x2252,2252x4000,58.44868850708008,71.29032611846924,66.44868850708008,5.238688507080077,1.3803261184692417,5.238688507080077,5.238688507080077,1.3803261184692417,5.238688507080077
1675564423029-6.jpg,73.88,67.23,74.95,69.22,-5.73,6,True,4032x3024,3024x4032,68.72745513916016,65.35050868988037,66.3635926246643,-5.152544860839839,-1.8794913101196329,-2.8564073753356922,5.152544860839839,1.8794913101196329,2.8564073753356922
1675342165226-5.jpg,65.39,80.58,69.67,73.39,3.72,6,True,4032x3024,3024x4032,63.66212463378906,79.91332411766052,71.66212463378906,-1.727875366210938,-0.6666758823394758,-1.727875366210938,1.727875366210938,0.6666758823394758,1.727875366210938
20230201_181510.jpg,51.78,67.19,59.04,59.78,0.74,6,True,4000x2252,2252x4000,53.842384338378906,67.40996837615967,61.842384338378906,2.062384338378905,0.21996837615967024,2.062384338378905,2.062384338378905,0.21996837615967024,2.062384338378905
1675564423029-9.jpg,76.62,68.71,76.72,71.08,-5.64,6,True,4032x3024,3024x4032,64.66319274902344,66.82730913162231,66.17807421684265,-11.956807250976567,-1.8826908683776793,-4.901925783157353,11.956807250976567,1.8826908683776793,4.901925783157353
1675564674752-17.jpg,72.62,74.69,74.05,74.07,0.02,6,True,4032x3024,3024x4032,73.03414154052734,73.93882274627686,73.66741838455201,0.4141415405273392,-0.7511772537231423,-0.40258161544798554,0.4141415405273392,0.7511772537231423,0.40258161544798554
1675564674752-2.jpg,72.8,77.07,73.89,75.79,1.9,6,True,4032x3024,3024x4032,73.73895263671875,76.42062306404114,75.61612193584442,0.9389526367187528,-0.6493769359588555,-0.1738780641555877,0.9389526367187528,0.6493769359588555,0.1738780641555877
