threshold,accuracy,balanced_accuracy,f1,precision,recall,specificity,false_positive_rate,predicted_positive_ratio,tn,fp,fn,tp
0.45,0.7147757902474884,0.5133478600600467,0.8314020857473928,0.718397997496871,0.9865933310415951,0.04010238907849829,0.9598976109215017,0.9789267336437147,47,1125,39,2870
0.46,0.7133055623621661,0.512826059410773,0.8302872062663185,0.7181932245922208,0.9838432451014094,0.041808873720136516,0.9581911262798635,0.9764763538348444,49,1123,47,2862
0.47,0.7133055623621661,0.5140997633565128,0.8300406740267287,0.7187421383647798,0.9821244413887934,0.04607508532423208,0.9539249146757679,0.974025974025974,54,1118,52,2857
0.48,0.7147757902474884,0.5181879350538579,0.830468977570638,0.7204953247409653,0.9800618769336542,0.05631399317406143,0.9436860068259386,0.9696152903700074,66,1106,58,2851
0.49,0.7147757902474884,0.5194616389995976,0.8302217036172697,0.7210539650367368,0.9783430732210382,0.060580204778156996,0.939419795221843,0.967164910561137,71,1101,63,2846
0.5,0.7120803724577309,0.5185899180723117,0.8281409975135293,0.7207230142566191,0.97318666208319,0.06399317406143344,0.9360068259385665,0.9625091889242833,75,1097,78,2831
0.51,0.7103651065915216,0.5196794225758121,0.8264826776277158,0.7212400717396874,0.9676864902028188,0.07167235494880546,0.9283276450511946,0.9563832394021073,84,1088,94,2815
0.52,0.7111002205341828,0.5257993610508519,0.8258750553832521,0.7239772138788193,0.961155036094878,0.09044368600682594,0.909556313993174,0.9463366821857387,106,1066,113,2796
0.53,0.7086498407253125,0.5266279652297154,0.8236166740839639,0.7244258872651357,0.9542798212444139,0.09897610921501707,0.9010238907849829,0.9389855427591277,116,1056,133,2776
0.54,0.7101200686106347,0.5342825079751319,0.8233009708737864,0.7279450607501321,0.9474046063939499,0.12116040955631399,0.878839590443686,0.9277137956383239,142,1030,153,2756
0.55,0.7093849546679736,0.5383522010660102,0.8218149038461539,0.729917267147051,0.9401856308009625,0.13651877133105803,0.863481228668942,0.9181573143837295,160,1012,174,2735
0.56,0.7086498407253125,0.5454787836266641,0.819657212194752,0.7334419109663409,0.9288415262976968,0.1621160409556314,0.8378839590443686,0.9027199215878461,190,982,207,2702
0.57,0.7071796128399902,0.5513255027060893,0.8170825042093983,0.7364790286975718,0.9174974217944311,0.18515358361774745,0.8148464163822525,0.8880176427346239,217,955,240,2669
0.58,0.7071796128399902,0.5604961711154156,0.8150441108187587,0.7412725225225225,0.9051220350635958,0.2158703071672355,0.7841296928327645,0.8703749081107571,253,919,276,2633
0.59,0.7017887772604754,0.5620643595197674,0.8097545724558386,0.742545871559633,0.8903403231350979,0.23378839590443687,0.7662116040955631,0.8546924773339868,274,898,319,2590
0.6,0.7017887772604754,0.5704708055616499,0.807771284157321,0.7472238457042665,0.8789962186318322,0.2619453924914676,0.7380546075085325,0.8385199705954423,307,865,352,2557
0.61,0.6959078657191865,0.5757710858498458,0.8008984437670464,0.7509025270758123,0.8580268133379169,0.2935153583617747,0.7064846416382252,0.8145062484685126,344,828,413,2496
0.62,0.6937025238912031,0.5839043124961136,0.7966818477553678,0.7560975609756098,0.8418700584393263,0.32593856655290104,0.674061433447099,0.7936780200931144,382,790,460,2449
0.63,0.6890468022543494,0.5892997722731736,0.7906286091404059,0.7601522842639594,0.8236507390855964,0.35494880546075086,0.6450511945392492,0.7723597157559422,416,756,513,2396
0.64,0.6829208527321735,0.5967208392924395,0.7823014804845222,0.7660626029654036,0.7992437263664489,0.39419795221843,0.60580204778157,0.7436902719921588,462,710,584,2325
