threshold,accuracy,balanced_accuracy,f1,precision,recall,specificity,false_positive_rate,predicted_positive_ratio,tn,fp,fn,tp
0.64,0.7488360695907865,0.6977259288286206,0.8227563548331317,0.8277661795407099,0.817806806462702,0.5776450511945392,0.42235494880546076,0.7042391570693457,677,495,530,2379
0.65,0.7488360695907865,0.7038397077681715,0.8212728857890148,0.8333333333333334,0.8095565486421451,0.5981228668941979,0.40187713310580203,0.6924773339867679,701,471,554,2355
0.66,0.7456505758392551,0.7077190418813216,0.8170602749383151,0.8383363471971067,0.7968374011687865,0.6186006825938567,0.38139931740614336,0.6775300171526587,725,447,591,2318
0.67,0.7407498162215144,0.7088667686607528,0.8116767532929867,0.8416389811738649,0.7837744929529048,0.6339590443686007,0.3660409556313993,0.6638078902229846,743,429,629,2280
0.68,0.7368292085273217,0.7112114985035262,0.8069039913700108,0.8458349038823972,0.7713991062220694,0.6510238907849829,0.34897610921501704,0.6500857632933105,763,409,665,2244
0.69,0.7351139426611125,0.7171410780008377,0.8034188034188033,0.8528957528957529,0.7593674802337573,0.6749146757679181,0.3250853242320819,0.6346483704974271,791,381,700,2209
0.7,0.7314383729478069,0.7181292434799851,0.7991202346041056,0.855908912446015,0.7493984187005844,0.6868600682593856,0.31313993174061433,0.6241117373192845,805,367,729,2180
0.71,0.7260475373682921,0.7204616542517808,0.79242480505013,0.8615260395639887,0.733585424544517,0.7073378839590444,0.29266211604095566,0.6069590786571919,829,343,775,2134
0.72,0.7186963979416809,0.7209095404751876,0.7838855421686748,0.8664169787765293,0.7157098659333104,0.7261092150170648,0.2738907849829352,0.5888262680715511,851,321,827,2082
0.73,0.7081597647635384,0.7168303147698621,0.7728399771123403,0.8680377035132819,0.696459264352011,0.7372013651877133,0.2627986348122867,0.5719186473903455,864,308,883,2026
0.74,0.6951727517765254,0.7102680629844769,0.7593810444874275,0.8681999115435648,0.6748023375730492,0.7457337883959044,0.25426621160409557,0.5540308747855918,874,298,946,1963
0.75,0.6888017642734624,0.7114034706929302,0.7509803921568627,0.8740301232314012,0.6583018219319354,0.764505119453925,0.2354948805460751,0.5368782161234992,896,276,994,1915
0.76,0.6834109286939476,0.712716918308134,0.7435490273918222,0.8797557538750587,0.6438638707459609,0.7815699658703071,0.21843003412969283,0.5216858613085028,916,256,1036,1873
0.77,0.6770399411908846,0.7135975852274394,0.7348088531187124,0.885977680737506,0.6277071158473703,0.7994880546075085,0.20051194539249148,0.5050232786081843,937,235,1083,1826
0.78,0.6679735358980642,0.7097854193822397,0.724201099124771,0.8877245508982036,0.6115503609487797,0.8080204778156996,0.19197952218430034,0.49105611369762314,947,225,1130,1779
0.79,0.6562117128154864,0.7053562733989021,0.7098241985522232,0.8909657320872274,0.5898934341698178,0.8208191126279863,0.17918088737201365,0.4719431511884342,962,210,1193,1716
0.8,0.6449399656946827,0.7012708881580877,0.6955242698045808,0.8945945945945946,0.5689240288759023,0.8336177474402731,0.16638225255972697,0.4533202646410194,977,195,1254,1655
0.81,0.63440333251654,0.6966821808744663,0.6821474222411589,0.8969187675070028,0.5503609487796494,0.8430034129692833,0.15699658703071673,0.43739279588336194,988,184,1308,1601
0.82,0.6221514334721882,0.6919092741486055,0.6657997399219766,0.9008797653958944,0.5280165005156411,0.85580204778157,0.14419795221843004,0.41778975741239893,1003,169,1373,1536
0.83,0.6113697623131585,0.6894413535960542,0.6498896247240619,0.9080814312152992,0.5060158129941561,0.8728668941979523,0.12713310580204779,0.39720656701788776,1023,149,1437,1472
0.84,0.5998529772114678,0.6864577919297179,0.6324555480531173,0.9159061277705346,0.4829838432451014,0.8899317406143344,0.11006825938566553,0.3758882626807155,1043,129,1504,1405
0.85,0.5866209262435678,0.6822710676645505,0.6120947344217063,0.9243055555555556,0.45754554829838434,0.9069965870307167,0.09300341296928327,0.352854692477334,1063,109,1578,1331
0.86,0.5753491791227641,0.6771667192671443,0.5951880401775287,0.9285714285714286,0.43795118597456173,0.9163822525597269,0.08361774744027303,0.3361921097770154,1074,98,1635,1274
0.87,0.5581965204606714,0.6676825011703118,0.5697924123120973,0.9313572542901716,0.4104503265727054,0.9249146757679181,0.07508532423208192,0.31413869149718204,1084,88,1715,1194
0.88,0.5442293555501103,0.6614516910564718,0.5470043838285436,0.9381787802840434,0.38604331385355795,0.9368600682593856,0.06313993174061433,0.2933104631217839,1098,74,1786,1123
0.89,0.529527076696888,0.6534315358831073,0.5233366434955312,0.9419124218051832,0.36232382261945684,0.9445392491467577,0.05546075085324232,0.27419750061259496,1107,65,1855,1054
0.9,0.5145797598627787,0.6449847595493332,0.49860794735509995,0.9452975047984645,0.3386043313853558,0.9513651877133106,0.04863481228668942,0.2553295760842931,1115,57,1924,985
0.91,0.49865229110512127,0.6368694248871045,0.47022268254790267,0.9527806925498427,0.3121347542110691,0.96160409556314,0.03839590443686007,0.23352119578534672,1127,45,2001,908
0.92,0.4790492526341583,0.62515692149936,0.43547530536378115,0.9568261376896149,0.28188380886902714,0.9684300341296929,0.031569965870307165,0.20999754962019113,1135,37,2089,820
0.93,0.4633668218573879,0.6164492448409491,0.40553745928338764,0.9638709677419355,0.25678927466483326,0.9761092150170648,0.023890784982935155,0.18990443518745406,1144,28,2162,747
0.94,0.4420485175202156,0.6032788380652254,0.3644990231649456,0.9688427299703264,0.2244757648676521,0.9820819112627986,0.017918088737201365,0.16515559911786326,1151,21,2256,653
0.95,0.41950502327860817,0.5887395478548978,0.3194484343579431,0.972027972027972,0.19113097284290134,0.9863481228668942,0.013651877133105802,0.14016172506738545,1156,16,2353,556
